Precursor Neutral Formula,Area,Product Mz,Replicate
C10H14Cl8,31666900,452.823916,Lard-B_RC3_01_3321
C10H14Cl8,28453416,452.823916,Lard-D_RC4_01_3322
C10H14Cl8,18327014,452.823916,pork-1_RB8_01_3318
C10H14Cl8,14231978,452.823916,pork-2_RC1_01_3319
C10H14Cl8,25068728,452.823916,pork-3_RC2_01_3320
C10H14Cl8,4584938,454.820996,Blank_procedure_RB7_01_3317
C10H14Cl8,9738067,454.820996,Cal_A_1_RA3_01_3342
C10H14Cl8,53126416,454.820996,Cal_A_2_RA4_01_3343
C10H14Cl8,89580912,454.820996,Cal_A_3_RA5_01_3344
C10H14Cl8,53040324,454.820996,Cal_B_1_RA6_01_3345
C10H14Cl8,126681200,454.820996,Cal_B_2_RA7_01_3346
C10H14Cl8,196626672,454.820996,Cal_B_3_RA8_01_3347
C10H14Cl8,437845696,454.820996,Cal_C_1_RB1_01_3348
C10H14Cl8,1011141248,454.820996,Cal_C_2_RB2_01_3349
C10H14Cl8,1505470720,454.820996,Cal_C_3_RB3_01_3350
C10H14Cl8,22143132,454.820996,Lard-B_RC3_01_3321
C10H14Cl8,20573890,454.820996,Lard-D_RC4_01_3322
C10H14Cl8,12098194,454.820996,pork-1_RB8_01_3318
C10H14Cl8,7835860,454.820996,pork-2_RC1_01_3319
C10H14Cl8,17405798,454.820996,pork-3_RC2_01_3320
C10H13Cl9,#N/A,484.787868,Blank_procedure_RB7_01_3317
C10H13Cl9,0,484.787868,Cal_A_1_RA3_01_3342
C10H13Cl9,10429773,484.787868,Cal_A_2_RA4_01_3343
C10H13Cl9,21884044,484.787868,Cal_A_3_RA5_01_3344
C10H13Cl9,6082037,484.787868,Cal_B_1_RA6_01_3345
C10H13Cl9,21414282,484.787868,Cal_B_2_RA7_01_3346
C10H13Cl9,32152868,484.787868,Cal_B_3_RA8_01_3347
C10H13Cl9,56797976,484.787868,Cal_C_1_RB1_01_3348
C10H13Cl9,128215416,484.787868,Cal_C_2_RB2_01_3349
C10H13Cl9,173907952,484.787868,Cal_C_3_RB3_01_3350
C10H13Cl9,#N/A,484.787868,Lard-B_RC3_01_3321
C10H13Cl9,0,484.787868,Lard-D_RC4_01_3322
C10H13Cl9,#N/A,484.787868,pork-1_RB8_01_3318
C10H13Cl9,#N/A,484.787868,pork-2_RC1_01_3319
C10H13Cl9,#N/A,484.787868,pork-3_RC2_01_3320
C10H13Cl9,#N/A,486.784939,Blank_procedure_RB7_01_3317
C10H13Cl9,85032,486.784939,Cal_A_1_RA3_01_3342
C10H13Cl9,17168530,486.784939,Cal_A_2_RA4_01_3343
C10H13Cl9,34629844,486.784939,Cal_A_3_RA5_01_3344
C10H13Cl9,10806259,486.784939,Cal_B_1_RA6_01_3345
C10H13Cl9,33267490,486.784939,Cal_B_2_RA7_01_3346
C10H13Cl9,48037908,486.784939,Cal_B_3_RA8_01_3347
C10H13Cl9,82945712,486.784939,Cal_C_1_RB1_01_3348
C10H13Cl9,192110144,486.784939,Cal_C_2_RB2_01_3349
C10H13Cl9,265232848,486.784939,Cal_C_3_RB3_01_3350
C10H13Cl9,#N/A,486.784939,Lard-B_RC3_01_3321
C10H13Cl9,92113,486.784939,Lard-D_RC4_01_3322
C10H13Cl9,#N/A,486.784939,pork-1_RB8_01_3318
C10H13Cl9,#N/A,486.784939,pork-2_RC1_01_3319
C10H13Cl9,#N/A,486.784939,pork-3_RC2_01_3320
C10H13Cl9,#N/A,488.782014,Blank_procedure_RB7_01_3317
C10H13Cl9,0,488.782014,Cal_A_1_RA3_01_3342
C10H13Cl9,13941312,488.782014,Cal_A_2_RA4_01_3343
C10H13Cl9,26884616,488.782014,Cal_A_3_RA5_01_3344
C10H13Cl9,8705599,488.782014,Cal_B_1_RA6_01_3345
C10H13Cl9,26925378,488.782014,Cal_B_2_RA7_01_3346
C10H13Cl9,40021316,488.782014,Cal_B_3_RA8_01_3347
C10H13Cl9,70772752,488.782014,Cal_C_1_RB1_01_3348
C10H13Cl9,161316512,488.782014,Cal_C_2_RB2_01_3349
C10H13Cl9,219772064,488.782014,Cal_C_3_RB3_01_3350
C10H13Cl9,#N/A,488.782014,Lard-B_RC3_01_3321
C10H13Cl9,0,488.782014,Lard-D_RC4_01_3322
C10H13Cl9,#N/A,488.782014,pork-1_RB8_01_3318
C10H13Cl9,#N/A,488.782014,pork-2_RC1_01_3319
C10H13Cl9,#N/A,488.782014,pork-3_RC2_01_3320
C10H12Cl10,#N/A,518.748893,Blank_procedure_RB7_01_3317
C10H12Cl10,#N/A,518.748893,Cal_A_1_RA3_01_3342
C10H12Cl10,275256,518.748893,Cal_A_2_RA4_01_3343
C10H12Cl10,5205628,518.748893,Cal_A_3_RA5_01_3344
C10H12Cl10,83502,518.748893,Cal_B_1_RA6_01_3345
C10H12Cl10,4319148,518.748893,Cal_B_2_RA7_01_3346
C10H12Cl10,8044413,518.748893,Cal_B_3_RA8_01_3347
C10H12Cl10,0,518.748893,Cal_C_1_RB1_01_3348
C10H12Cl10,5554081,518.748893,Cal_C_2_RB2_01_3349
C10H12Cl10,9991588,518.748893,Cal_C_3_RB3_01_3350
C10H12Cl10,#N/A,518.748893,Lard-B_RC3_01_3321
C10H12Cl10,#N/A,518.748893,Lard-D_RC4_01_3322
C10H12Cl10,#N/A,518.748893,pork-1_RB8_01_3318
C10H12Cl10,#N/A,518.748893,pork-2_RC1_01_3319
C10H12Cl10,#N/A,518.748893,pork-3_RC2_01_3320
C10H12Cl10,#N/A,520.745962,Blank_procedure_RB7_01_3317
C10H12Cl10,#N/A,520.745962,Cal_A_1_RA3_01_3342
C10H12Cl10,3828629,520.745962,Cal_A_2_RA4_01_3343
C10H12Cl10,12846006,520.745962,Cal_A_3_RA5_01_3344
C10H12Cl10,269011,520.745962,Cal_B_1_RA6_01_3345
C10H12Cl10,11613697,520.745962,Cal_B_2_RA7_01_3346
C10H12Cl10,18186688,520.745962,Cal_B_3_RA8_01_3347
C10H12Cl10,1062574,520.745962,Cal_C_1_RB1_01_3348
C10H12Cl10,12906051,520.745962,Cal_C_2_RB2_01_3349
C10H12Cl10,18338898,520.745962,Cal_C_3_RB3_01_3350
C10H12Cl10,#N/A,520.745962,Lard-B_RC3_01_3321
C10H12Cl10,#N/A,520.745962,Lard-D_RC4_01_3322
C10H12Cl10,#N/A,520.745962,pork-1_RB8_01_3318
C10H12Cl10,#N/A,520.745962,pork-2_RC1_01_3319
C10H12Cl10,#N/A,520.745962,pork-3_RC2_01_3320
C10H12Cl10,#N/A,522.743035,Blank_procedure_RB7_01_3317
C10H12Cl10,#N/A,522.743035,Cal_A_1_RA3_01_3342
C10H12Cl10,2741065,522.743035,Cal_A_2_RA4_01_3343
C10H12Cl10,11549472,522.743035,Cal_A_3_RA5_01_3344
C10H12Cl10,175598,522.743035,Cal_B_1_RA6_01_3345
C10H12Cl10,10000609,522.743035,Cal_B_2_RA7_01_3346
C10H12Cl10,16142751,522.743035,Cal_B_3_RA8_01_3347
C10H12Cl10,391024,522.743035,Cal_C_1_RB1_01_3348
C10H12Cl10,11848089,522.743035,Cal_C_2_RB2_01_3349
C10H12Cl10,15540393,522.743035,Cal_C_3_RB3_01_3350
C10H12Cl10,#N/A,522.743035,Lard-B_RC3_01_3321
C10H12Cl10,#N/A,522.743035,Lard-D_RC4_01_3322
C10H12Cl10,#N/A,522.743035,pork-1_RB8_01_3318
C10H12Cl10,#N/A,522.743035,pork-2_RC1_01_3319
C10H12Cl10,#N/A,522.743035,pork-3_RC2_01_3320
C10H12Cl10,#N/A,524.740113,Blank_procedure_RB7_01_3317
C10H12Cl10,#N/A,524.740113,Cal_A_1_RA3_01_3342
C10H12Cl10,93659,524.740113,Cal_A_2_RA4_01_3343
C10H12Cl10,4767208,524.740113,Cal_A_3_RA5_01_3344
C10H12Cl10,0,524.740113,Cal_B_1_RA6_01_3345
C10H12Cl10,3770413,524.740113,Cal_B_2_RA7_01_3346
C10H12Cl10,8084467,524.740113,Cal_B_3_RA8_01_3347
C10H12Cl10,0,524.740113,Cal_C_1_RB1_01_3348
C10H12Cl10,5276453,524.740113,Cal_C_2_RB2_01_3349
C10H12Cl10,7896754,524.740113,Cal_C_3_RB3_01_3350
C10H12Cl10,#N/A,524.740113,Lard-B_RC3_01_3321
C10H12Cl10,#N/A,524.740113,Lard-D_RC4_01_3322
C10H12Cl10,#N/A,524.740113,pork-1_RB8_01_3318
C10H12Cl10,#N/A,524.740113,pork-2_RC1_01_3319
C10H12Cl10,#N/A,524.740113,pork-3_RC2_01_3320
C10H11Cl11,#N/A,552.70992,Blank_procedure_RB7_01_3317
C10H11Cl11,#N/A,552.70992,Cal_A_1_RA3_01_3342
C10H11Cl11,#N/A,552.70992,Cal_A_2_RA4_01_3343
C10H11Cl11,#N/A,552.70992,Cal_A_3_RA5_01_3344
C10H11Cl11,#N/A,552.70992,Cal_B_1_RA6_01_3345
C10H11Cl11,#N/A,552.70992,Cal_B_2_RA7_01_3346
C10H11Cl11,#N/A,552.70992,Cal_B_3_RA8_01_3347
C10H11Cl11,#N/A,552.70992,Cal_C_1_RB1_01_3348
C10H11Cl11,#N/A,552.70992,Cal_C_2_RB2_01_3349
C10H11Cl11,#N/A,552.70992,Cal_C_3_RB3_01_3350
C10H11Cl11,#N/A,552.70992,Lard-B_RC3_01_3321
C10H11Cl11,#N/A,552.70992,Lard-D_RC4_01_3322
C10H11Cl11,#N/A,552.70992,pork-1_RB8_01_3318
C10H11Cl11,#N/A,552.70992,pork-2_RC1_01_3319
C10H11Cl11,#N/A,552.70992,pork-3_RC2_01_3320
C10H11Cl11,#N/A,554.706987,Blank_procedure_RB7_01_3317
C10H11Cl11,#N/A,554.706987,Cal_A_1_RA3_01_3342
C10H11Cl11,#N/A,554.706987,Cal_A_2_RA4_01_3343
C10H11Cl11,#N/A,554.706987,Cal_A_3_RA5_01_3344
C10H11Cl11,#N/A,554.706987,Cal_B_1_RA6_01_3345
C10H11Cl11,#N/A,554.706987,Cal_B_2_RA7_01_3346
C10H11Cl11,#N/A,554.706987,Cal_B_3_RA8_01_3347
C10H11Cl11,#N/A,554.706987,Cal_C_1_RB1_01_3348
C10H11Cl11,#N/A,554.706987,Cal_C_2_RB2_01_3349
C10H11Cl11,#N/A,554.706987,Cal_C_3_RB3_01_3350
C10H11Cl11,#N/A,554.706987,Lard-B_RC3_01_3321
C10H11Cl11,#N/A,554.706987,Lard-D_RC4_01_3322
C10H11Cl11,#N/A,554.706987,pork-1_RB8_01_3318
